dose_norm,defocus_nm,CD_conv_nm,in_spec_conv,CD_hina_nm,in_spec_hina
0.8800,-300.00,19.8613,0,10.1991,0
0.8800,-225.00,22.7389,0,8.4701,1
0.8800,-150.00,nan,0,7.6979,1
0.8800,-75.00,16.1690,1,7.3357,1
0.8800,0.00,14.4610,1,7.2275,1
0.8800,75.00,16.1690,1,7.3357,1
0.8800,150.00,nan,0,7.6979,1
0.8800,225.00,22.7389,0,8.4701,1
0.8800,300.00,19.8613,0,10.1991,0
0.9200,-300.00,20.8471,0,10.7245,0
0.9200,-225.00,24.1615,0,8.8343,0
0.9200,-150.00,nan,0,8.0059,1
0.9200,-75.00,16.8356,1,7.6237,1
0.9200,0.00,15.0199,1,7.5108,1
0.9200,75.00,16.8356,1,7.6237,1
0.9200,150.00,nan,0,8.0059,1
0.9200,225.00,24.1615,0,8.8343,0
0.9200,300.00,20.8471,0,10.7245,0
0.9600,-300.00,21.7956,0,11.2368,0
0.9600,-225.00,25.6699,0,9.1688,0
0.9600,-150.00,nan,0,8.2882,1
0.9600,-75.00,17.4482,1,7.8848,1
0.9600,0.00,15.5315,1,7.7656,1
0.9600,75.00,17.4482,1,7.8848,1
0.9600,150.00,nan,0,8.2882,1
0.9600,225.00,25.6699,0,9.1688,0
0.9600,300.00,21.7956,0,11.2368,0
1.0000,-300.00,22.7200,0,11.7446,0
1.0000,-225.00,27.4111,0,9.4764,0
1.0000,-150.00,nan,0,8.5489,1
1.0000,-75.00,18.0192,0,8.1250,1
1.0000,0.00,16.0000,1,8.0000,1
1.0000,75.00,18.0192,0,8.1250,1
1.0000,150.00,nan,0,8.5489,1
1.0000,225.00,27.4111,0,9.4764,0
1.0000,300.00,22.7200,0,11.7446,0
1.0400,-300.00,23.6340,0,12.2562,0
1.0400,-225.00,30.0499,0,9.7764,0
1.0400,-150.00,nan,0,8.7933,1
1.0400,-75.00,18.5482,0,8.3467,1
1.0400,0.00,16.4325,1,8.2164,1
1.0400,75.00,18.5482,0,8.3467,1
1.0400,150.00,nan,0,8.7933,1
1.0400,225.00,30.0499,0,9.7764,0
1.0400,300.00,23.6340,0,12.2562,0
1.0800,-300.00,24.5530,0,12.7925,0
1.0800,-225.00,nan,0,10.0556,0
1.0800,-150.00,nan,0,9.0197,0
1.0800,-75.00,19.0491,0,8.5530,1
1.0800,0.00,16.8346,1,8.4168,1
1.0800,75.00,19.0491,0,8.5530,1
1.0800,150.00,nan,0,9.0197,0
1.0800,225.00,nan,0,10.0556,0
1.0800,300.00,24.5530,0,12.7925,0
1.1200,-300.00,25.4986,0,13.3523,0
1.1200,-225.00,nan,0,10.3148,0
1.1200,-150.00,nan,0,9.2299,0
1.1200,-75.00,19.5147,0,8.7474,1
1.1200,0.00,17.2082,1,8.6048,1
1.1200,75.00,19.5147,0,8.7474,1
1.1200,150.00,nan,0,9.2299,0
1.1200,225.00,nan,0,10.3148,0
1.1200,300.00,25.4986,0,13.3523,0
