sample,dose_norm,focus_nm,CDE_conv,CDE_hina,CDE_mor
0,1.0149,-21.231,0.3994,3.9432,5.9353
1,0.9959,-6.310,7.4796,1.4039,5.9010
2,1.0194,-5.141,0.5524,3.8397,5.0944
3,1.0457,-12.034,7.7823,3.9821,4.6113
4,0.9930,-2.419,nan,2.2754,5.6703
5,0.9930,6.061,nan,3.4505,5.5779
6,1.0474,28.293,nan,2.2657,5.5711
7,1.0230,2.619,nan,nan,5.6075
8,0.9859,3.863,nan,nan,5.8944
9,1.0163,-1.117,nan,nan,nan
10,0.9861,-28.782,nan,nan,nan
11,0.9860,-0.398,nan,nan,nan
12,1.0073,0.903,nan,nan,nan
13,0.9426,36.949,nan,nan,nan
14,0.9483,-2.885,nan,nan,nan
15,0.9831,4.523,nan,nan,nan
16,0.9696,-0.521,nan,nan,nan
17,1.0094,-17.530,nan,nan,nan
18,0.9728,17.142,nan,nan,nan
19,0.9576,11.279,nan,nan,nan
20,1.0440,11.865,nan,nan,nan
21,0.9932,-13.641,nan,nan,nan
22,1.0020,21.042,nan,nan,nan
23,0.9573,-21.028,nan,nan,nan
24,0.9837,8.803,nan,nan,nan
25,1.0033,32.857,nan,nan,nan
26,0.9655,-14.858,nan,nan,nan
27,1.0113,-8.494,nan,nan,nan
28,0.9820,1.495,nan,nan,nan
29,0.9912,-7.552,nan,nan,nan
30,0.9819,-23.260,nan,nan,nan
31,1.0556,1.028,nan,nan,nan
32,0.9996,-15.935,nan,nan,nan
33,0.9683,7.104,nan,nan,nan
34,1.0247,-13.791,nan,nan,nan
35,0.9634,23.249,nan,nan,nan
36,1.0063,-11.749,nan,nan,nan
37,0.9412,-4.831,nan,nan,nan
38,0.9602,12.203,nan,nan,nan
39,1.0059,-18.463,nan,nan,nan
40,1.0222,3.412,nan,nan,nan
41,1.0051,19.607,nan,nan,nan
42,0.9965,-24.112,nan,nan,nan
43,0.9910,2.770,nan,nan,nan
44,0.9556,3.898,nan,nan,nan
45,0.9784,11.727,nan,nan,nan
46,0.9862,-18.554,nan,nan,nan
47,1.0317,-19.807,nan,nan,nan
48,1.0103,7.829,nan,nan,nan
49,0.9471,4.455,nan,nan,nan
50,1.0097,3.757,nan,nan,nan
51,0.9884,5.197,nan,nan,nan
52,0.9797,-10.200,nan,nan,nan
53,1.0184,3.484,nan,nan,nan
54,1.0309,4.396,nan,nan,nan
55,1.0279,-10.715,nan,nan,nan
56,0.9748,27.987,nan,nan,nan
57,0.9907,7.107,nan,nan,nan
58,1.0099,-17.870,nan,nan,nan
59,1.0293,9.848,nan,nan,nan
60,0.9856,-14.620,nan,nan,nan
61,0.9944,11.806,nan,nan,nan
62,0.9668,17.379,nan,nan,nan
63,0.9641,-12.310,nan,nan,nan
64,1.0244,14.451,nan,nan,nan
65,1.0407,6.192,nan,nan,nan
66,0.9978,12.331,nan,nan,nan
67,1.0301,28.452,nan,nan,nan
68,1.0108,-3.681,nan,nan,nan
69,0.9806,-11.306,nan,nan,nan
70,1.0108,-13.343,nan,nan,nan
71,1.0461,-12.237,nan,nan,nan
72,0.9989,-1.157,nan,nan,nan
73,1.0469,5.117,nan,nan,nan
74,0.9214,4.150,nan,nan,nan
75,1.0247,12.408,nan,nan,nan
76,1.0026,0.195,nan,nan,nan
77,0.9910,21.803,nan,nan,nan
78,1.0028,-3.970,nan,nan,nan
79,0.9404,40.803,nan,nan,nan
80,0.9934,9.385,nan,nan,nan
81,1.0107,-12.857,nan,nan,nan
82,1.0443,-16.063,nan,nan,nan
83,0.9845,7.237,nan,nan,nan
84,0.9757,-3.352,nan,nan,nan
85,0.9849,10.710,nan,nan,nan
86,1.0275,7.099,nan,nan,nan
87,1.0099,-1.092,nan,nan,nan
88,0.9841,-12.702,nan,nan,nan
89,1.0154,-22.723,nan,nan,nan
90,1.0029,-6.698,nan,nan,nan
91,1.0291,12.846,nan,nan,nan
92,0.9789,3.211,nan,nan,nan
93,0.9902,-18.686,nan,nan,nan
94,0.9882,2.598,nan,nan,nan
95,0.9561,5.780,nan,nan,nan
96,1.0089,-13.258,nan,nan,nan
97,1.0078,2.306,nan,nan,nan
98,1.0002,0.873,nan,nan,nan
99,0.9930,-17.145,nan,nan,nan
