delta_lambda_pm,NILS,NILS_dev_pct,CD_shift_nm
-200,2.08155,3.27811,0.0629937
-175,2.0926,2.7648,0.0528492
-150,2.10366,2.25062,0.0427944
-125,2.1144,1.75183,0.033141
-100,2.12446,1.28412,0.0241778
-75,2.13354,0.862276,0.0161661
-50,2.14134,0.499867,0.00933746
-25,2.1476,0.208974,0.00389222
0,2.1521,0,0
25,2.15465,0.118418,-0.00219837
50,2.1551,0.139369,-0.00258678
75,2.15333,0.0574263,-0.00106674
100,2.14926,0.131889,0.00245459
125,2.14278,0.43316,0.00808596
150,2.13374,0.853125,0.015993
175,2.12187,1.40473,0.026481
200,2.10658,2.11486,0.0401572
