iteration,cost_J
1,0.16103
2,0.125442
3,0.125407
4,0.125406
5,0.125406
6,0.125406
7,0.125406
8,0.125406
9,0.125406
10,0.125404
11,0.125395
12,0.125332
13,0.125098
14,0.124987
15,0.124684
16,0.124617
17,0.12311
18,0.122632
19,0.122009
20,0.121811
21,0.121566
22,0.121437
23,0.121296
24,0.121279
25,0.121251
26,0.121228
27,0.121203
28,0.121162
29,0.121142
30,0.121123
31,0.121097
32,0.121077
33,0.121067
34,0.121066
35,0.121063
36,0.121062
37,0.121059
38,0.12105
39,0.121046
40,0.121039
41,0.121011
42,0.120995
43,0.120986
44,0.12098
45,0.120971
46,0.120961
47,0.120961
48,0.120958
49,0.120949
50,0.120941
51,0.120936
52,0.120921
53,0.120903
54,0.120887
55,0.120879
56,0.120864
57,0.12085
58,0.120844
59,0.120839
60,0.120826
61,0.120807
62,0.120799
63,0.12079
64,0.120788
65,0.120776
66,0.120771
67,0.120764
68,0.120759
69,0.120751
70,0.120747
71,0.120739
72,0.120723
73,0.120722
74,0.120711
75,0.120701
76,0.120691
77,0.120682
78,0.120676
79,0.120676
80,0.120673
81,0.120668
82,0.120664
83,0.120662
84,0.120652
85,0.120649
86,0.120649
87,0.120647
88,0.120646
89,0.120644
90,0.120642
91,0.12064
92,0.120639
93,0.120638
94,0.120637
95,0.120637
96,0.120636
97,0.120634
98,0.120633
99,0.120632
100,0.120632
101,0.120632
102,0.120631
103,0.120631
104,0.120631
105,0.120629
106,0.120629
107,0.120629
108,0.120629
109,0.120628
110,0.120628
111,0.120628
112,0.120627
113,0.120627
114,0.120627
115,0.120627
116,0.120627
117,0.120627
118,0.120626
119,0.120626
120,0.120626
121,0.120626
122,0.120626
123,0.120626
124,0.120625
125,0.120625
126,0.120625
127,0.120625
128,0.120625
129,0.120625
130,0.120625
131,0.120625
132,0.120625
133,0.120625
134,0.120625
135,0.120624
136,0.120624
137,0.120623
138,0.120623
139,0.120623
140,0.120623
141,0.120623
142,0.120623
143,0.120623
144,0.120623
145,0.120622
146,0.120622
147,0.120622
148,0.120622
149,0.120622
150,0.120621
151,0.120621
152,0.12062
153,0.12062
154,0.12062
155,0.12062
156,0.120619
157,0.120618
158,0.120618
159,0.120618
160,0.120618
161,0.120617
162,0.120617
163,0.120617
164,0.120617
165,0.120617
166,0.120616
167,0.120615
168,0.120614
169,0.120614
170,0.120614
171,0.120613
172,0.120613
173,0.120612
174,0.120612
175,0.120611
176,0.120611
177,0.12061
178,0.12061
179,0.12061
180,0.12061
181,0.120609
182,0.120609
183,0.120609
184,0.120608
185,0.120608
186,0.120607
187,0.120607
188,0.120607
189,0.120606
190,0.120606
191,0.120606
192,0.120606
193,0.120606
194,0.120606
195,0.120606
196,0.120606
197,0.120605
198,0.120603
199,0.120602
200,0.120602
201,0.120602
202,0.120602
203,0.120601
204,0.120601
205,0.120601
206,0.120601
207,0.120601
208,0.120601
209,0.1206
210,0.120599
211,0.120599
212,0.120598
213,0.120598
214,0.120598
215,0.120596
216,0.120596
217,0.120595
218,0.120595
219,0.120592
220,0.120592
221,0.120591
222,0.120591
223,0.12059
224,0.12059
225,0.12059
226,0.12059
227,0.120589
228,0.120589
229,0.120589
230,0.120589
231,0.120588
232,0.120588
233,0.120587
234,0.120586
235,0.120586
236,0.120586
237,0.120586
238,0.120586
239,0.120586
240,0.120585
241,0.120585
242,0.120585
243,0.120584
244,0.120584
245,0.120584
246,0.120584
247,0.120584
248,0.120584
249,0.120583
250,0.120583
251,0.120583
252,0.120583
253,0.120583
254,0.120582
255,0.120581
256,0.120581
257,0.120581
258,0.12058
259,0.12058
260,0.120578
261,0.120578
262,0.120578
263,0.120578
264,0.120577
265,0.120577
266,0.120576
267,0.120576
268,0.120576
269,0.120575
270,0.120573
271,0.120573
272,0.120573
273,0.120572
274,0.120571
275,0.120571
276,0.12057
277,0.12057
278,0.12057
279,0.12057
280,0.12057
281,0.12057
282,0.120569
283,0.120569
284,0.120568
285,0.120568
286,0.120568
287,0.120568
288,0.120568
289,0.120568
290,0.120568
291,0.120567
292,0.120567
293,0.120567
294,0.120567
295,0.120566
296,0.120566
297,0.120565
298,0.120565
299,0.120565
300,0.120565
301,0.120564
302,0.120564
303,0.120564
304,0.120563
305,0.120563
306,0.120562
307,0.120561
308,0.12056
309,0.12056
310,0.120559
311,0.120558
312,0.120558
313,0.120557
314,0.120556
315,0.120555
316,0.120555
317,0.120555
318,0.120555
319,0.120555
320,0.120555
321,0.120554
322,0.120553
323,0.120551
324,0.12055
325,0.12055
326,0.12055
327,0.12055
328,0.12055
329,0.12055
330,0.12055
331,0.120549
332,0.120549
333,0.120549
334,0.120549
335,0.120549
336,0.120549
337,0.120548
338,0.120548
339,0.120548
