defocus_nm,CD_sim_nm,NILS,in_spec
-100,8.7077,0.17782,0
-90,8.91423,0.278159,0
-80,9.10017,0.409376,0
-70,9.26216,0.579874,1
-60,9.39914,0.797097,1
-50,9.51086,1.06355,1
-40,9.59421,1.40821,1
-30,9.65628,1.78885,1
-20,9.69908,2.19779,1
-10,9.72414,2.53577,1
0,9.73239,2.66828,1
10,9.72414,2.53577,1
20,9.69908,2.19779,1
30,9.65628,1.78885,1
40,9.59421,1.40821,1
50,9.51086,1.06355,1
60,9.39914,0.797097,1
70,9.26216,0.579874,1
80,9.10017,0.409376,0
90,8.91423,0.278159,0
100,8.7077,0.17782,0
