metric,value
[N1] H-V NILS asym (HiNA),"17.3%  (H=1.81, V=2.15)  [expected 5–20%]"
[N1] H-V CD asym (HiNA),0.00 nm  [BUGFIX-1 correct dipole angle]
[N1] NILS improvement (V),12%  (1.92→2.15)
[N2] LWR 3σ Conv CAR,6.33 nm  [BUGFIX-5 nan filtering active]
[N2] LWR 3σ HiNA CAR,4.53 nm
[N2] LWR 3σ HiNA MOR,2.13 nm
[N3] RLS MOR best dose,5 mJ/cm² → LWR 1.58 nm
[N5] Clear-area R (PTB-2022),64.4%  [BUGFIX-2 absorber on entrance side]
[N5] TaBN absorber-area R,0.992%  (expected <2%)
CDE reduction (conv→HiNA),median 14%  LWR 28%  (target ~34%)  [BUG-CDE-METRIC: LWR 3σ is primary benchmark]
Process window improvement (same HP),15%  (13→15/63  @ HP=16nm)
Process window HiNA absolute (8nm HP),154%  (13conv/63 vs 33hina/63)
WL NILS sensitivity,max(±150pm) 2.3%  max(±200pm) 3.3%  (target <2% at process BW)
ILT final cost J,0.12055  (converged=True)
"Validation DOF (High-NA, 8nm HP)",sim=140 nm  benchmark=140 nm  error=0.0%  [ABBE+dipole]
"Validation EL (High-NA, 8nm HP)",sim=40.0%  benchmark=40%  error=0.0%
"Validation CD (High-NA, 8nm HP)",sim=15.0 nm  benchmark=13.0 nm  error=15.5%
Compute backend,GPU (CuPy T4)
