defocus_nm,CD_dill_nm,CD_peb_nm,NILS_dill,NILS_pra
-100,8.7077,8.31204,0.17782,0.0891385
-90,8.91423,8.41257,0.278159,0.133314
-80,9.10017,8.5073,0.409376,0.186274
-70,9.26216,8.59217,0.579874,0.246702
-60,9.39914,8.6658,0.797097,0.314073
-50,9.51086,8.7275,1.06355,0.386871
-40,9.59421,8.77721,1.40821,0.458827
-30,9.65628,8.81522,1.78885,0.291525
-20,9.69908,8.84196,2.19779,0.57928
-10,9.72414,8.85782,2.53577,0.578648
0,9.73239,8.86307,2.66828,0.589803
10,9.72414,8.85782,2.53577,0.578648
20,9.69908,8.84196,2.19779,0.57928
30,9.65628,8.81522,1.78885,0.291525
40,9.59421,8.77721,1.40821,0.458827
50,9.51086,8.7275,1.06355,0.386871
60,9.39914,8.6658,0.797097,0.314073
70,9.26216,8.59217,0.579874,0.246702
80,9.10017,8.5073,0.409376,0.186274
90,8.91423,8.41257,0.278159,0.133314
100,8.7077,8.31204,0.17782,0.0891385
