acid_fraction,dev_rate_CAR_standard,dev_rate_CAR_highNA,dev_rate_MOR_SnOx
0,0.05,0.05,0.02
0.0204082,0.05,0.05,0.02
0.0408163,0.05,0.05,0.02
0.0612245,0.05,0.05,0.02
0.0816327,0.05,0.05,0.02
0.102041,0.05,0.05,0.02
0.122449,0.05,0.05,0.02
0.142857,0.05,0.05,0.02
0.163265,0.05,0.05,0.02
0.183673,0.05,0.05,0.02
0.204082,0.05,0.05,0.02
0.22449,0.05,0.05,0.02
0.244898,0.05,0.05,0.02
0.265306,0.05,0.05,0.02
0.285714,0.05,0.05,0.02
0.306122,0.05,0.05,0.02
0.326531,0.05,0.05,0.02
0.346939,0.05,0.05,0.02
0.367347,0.05,0.05,0.0267359
0.387755,0.05,0.05,0.0412044
0.408163,0.05,0.05,0.0621089
0.428571,0.05,0.05,0.0917628
0.44898,0.05,0.05,0.133135
0.469388,0.0562108,0.05,0.18999
0.489796,0.0860289,0.05,0.267051
0.510204,0.129395,0.0576353,0.370187
0.530612,0.191527,0.0922666,0.506619
0.55102,0.279322,0.145098,0.685169
0.571429,0.401797,0.224436,0.91652
0.591837,0.570625,0.341839,1.21353
0.612245,0.800769,0.513195,1.59155
0.632653,1.11124,0.760067,2.06882
0.653061,1.526,1.11138,2.66688
0.673469,2.07496,1.60545,3.41101
0.693878,2.79525,2.29243,4.33076
0.714286,3.7325,3.23706,5.46047
0.734694,4.94245,4.52176,6.83986
0.755102,6.49258,6.2497,8.51471
0.77551,8.46405,8.54765,10.5375
0.795918,10.9536,11.5678,12.9683
0.816327,14.0755,15.4878,15.8754
0.836735,17.9637,20.5077,19.3361
0.857143,22.7735,26.8424,23.4379
0.877551,28.6827,34.7076,28.2792
0.897959,35.893,44.2994,33.9703
0.918367,44.629,55.7665,40.6345
0.938776,55.1372,69.1782,48.4092
0.959184,67.6826,84.4935,57.4466
0.979592,82.5428,101.538,67.915
1,100,120,80
