zernike_coeff_mwaves,NILS_Z5,NILS_Z7,NILS_Z8,NILS_Z11,NILS_Z22
0,2.1521,2.1521,2.1521,2.1521,2.1521
5,2.1521,2.51686,2.1521,0.321168,1.28066
10,2.1521,2.33412,2.1521,2.08048,0.0137743
15,2.1521,2.51688,2.1521,1.06167,1.23855
20,2.1521,2.3338,2.1521,1.01359,2.51564
25,2.1521,2.51689,2.1521,2.03117,1.32307
30,2.1521,2.33349,2.1521,0.282844,0.0413901
35,2.1521,2.5169,2.1521,2.51461,1.1968
40,2.1521,2.18889,2.1521,0.361027,2.14908
45,2.1521,2.37444,2.1521,1.92196,1.36575
50,2.1521,2.33292,2.1521,1.11581,0.0690774
