acid_frac_q,Mack3_rate,Mack4_rate
0.001,0.01,0.01
0.0060201,0.01,0.01
0.0110402,0.01,0.01
0.0160603,0.01,0.01
0.0210804,0.01,0.01
0.0261005,0.01,0.01
0.0311206,0.01,0.01
0.0361407,0.01,0.01
0.0411608,0.01,0.01
0.0461809,0.01,0.01
0.051201,0.01,0.01
0.0562211,0.01,0.01
0.0612412,0.01,0.01
0.0662613,0.01,0.01
0.0712814,0.01,0.01
0.0763015,0.01,0.01
0.0813216,0.01,0.01
0.0863417,0.01,0.01
0.0913618,0.01,0.01
0.0963819,0.01,0.01
0.101402,0.01,0.01
0.106422,0.01,0.01
0.111442,0.01,0.01
0.116462,0.01,0.01
0.121482,0.01,0.01
0.126503,0.01,0.01
0.131523,0.01,0.01
0.136543,0.01,0.01
0.141563,0.01,0.01
0.146583,0.01,0.01
0.151603,0.01,0.01
0.156623,0.01,0.01
0.161643,0.01,0.01
0.166663,0.01,0.01
0.171683,0.01,0.01
0.176704,0.01,0.01
0.181724,0.01,0.01
0.186744,0.01,0.01
0.191764,0.01,0.01
0.196784,0.01,0.01
0.201804,0.01,0.01
0.206824,0.01,0.01
0.211844,0.01,0.01
0.216864,0.01,0.01
0.221884,0.01,0.01
0.226905,0.01,0.01
0.231925,0.01,0.01
0.236945,0.01,0.01
0.241965,0.01,0.01
0.246985,0.01,0.01
0.252005,0.01,0.01
0.257025,0.01,0.01
0.262045,0.01,0.01
0.267065,0.01,0.01
0.272085,0.01,0.01
0.277106,0.01,0.01
0.282126,0.01,0.01
0.287146,0.01,0.01
0.292166,0.01,0.01
0.297186,0.01,0.01
0.302206,0.01,129.973
0.307226,0.01,129.979
0.312246,0.01,129.984
0.317266,0.01,129.988
0.322286,0.01,129.99
0.327307,0.01,129.993
0.332327,0.01,129.994
0.337347,0.01,129.995
0.342367,0.01,129.996
0.347387,0.01,129.997
0.352407,0.01,129.998
0.357427,0.01,129.998
0.362447,0.01,129.999
0.367467,0.01,129.999
0.372487,0.01,129.999
0.377508,0.01,129.999
0.382528,0.01,129.999
0.387548,0.01,129.999
0.392568,0.01,130
0.397588,0.01,130
0.402608,0.01,130
0.407628,0.01,130
0.412648,0.01,130
0.417668,0.01,130
0.422688,0.01,130
0.427709,0.01,130
0.432729,0.01,130
0.437749,0.01,130
0.442769,0.01,130
0.447789,0.01,130
0.452809,0.01,130
0.457829,0.01,130
0.462849,0.01,130
0.467869,0.01,130
0.472889,0.01,130
0.47791,0.01,130
0.48293,0.01,130
0.48795,0.01,130
0.49297,0.01,130
0.49799,0.01,130
0.50301,0.01,130
0.50803,0.01,130
0.51305,0.01,130
0.51807,0.01,130
0.52309,0.01,130
0.528111,0.01,130
0.533131,0.0116119,130
0.538151,0.0134904,130
0.543171,0.0156509,130
0.548191,0.0181327,130
0.553211,0.0209798,130
0.558231,0.0242419,130
0.563251,0.027975,130
0.568271,0.0322418,130
0.573291,0.037113,130
0.578312,0.0426677,130
0.583332,0.0489945,130
0.588352,0.0561925,130
0.593372,0.0643728,130
0.598392,0.0736592,130
0.603412,0.08419,130
0.608432,0.0961193,130
0.613452,0.109619,130
0.618472,0.124879,130
0.623492,0.142113,130
0.628513,0.161557,130
0.633533,0.183471,130
0.638553,0.208146,130
0.643573,0.235904,130
0.648593,0.267099,130
0.653613,0.302125,130
0.658633,0.341416,130
0.663653,0.385451,130
0.668673,0.434758,130
0.673693,0.489919,130
0.678714,0.551573,130
0.683734,0.620425,130
0.688754,0.697248,130
0.693774,0.782889,130
0.698794,0.878279,130
0.703814,0.984435,130
0.708834,1.10247,130
0.713854,1.2336,130
0.718874,1.37916,130
0.723894,1.54059,130
0.728915,1.71947,130
0.733935,1.91751,130
0.738955,2.13658,130
0.743975,2.37869,130
0.748995,2.64604,130
0.754015,2.94099,130
0.759035,3.26609,130
0.764055,3.62409,130
0.769075,4.01797,130
0.774095,4.45089,130
0.779116,4.92626,130
0.784136,5.44773,130
0.789156,6.01919,130
0.794176,6.64476,130
0.799196,7.32883,130
0.804216,8.07604,130
0.809236,8.89127,130
0.814256,9.77966,130
0.819276,10.7466,130
0.824296,11.7976,130
0.829317,12.9386,130
0.834337,14.1754,130
0.839357,15.5142,130
0.844377,16.9613,130
0.849397,18.523,130
0.854417,20.2055,130
0.859437,22.0151,130
0.864457,23.9579,130
0.869477,26.0399,130
0.874497,28.2666,130
0.879518,30.6434,130
0.884538,33.1749,130
0.889558,35.8652,130
0.894578,38.7178,130
0.899598,41.7353,130
0.904618,44.9192,130
0.909638,48.2701,130
0.914658,51.7874,130
0.919678,55.4691,130
0.924698,59.3122,130
0.929719,63.3118,130
0.934739,67.4621,130
0.939759,71.7553,130
0.944779,76.1827,130
0.949799,80.7337,130
0.954819,85.3968,130
0.959839,90.1591,130
0.964859,95.0064,130
0.969879,99.924,130
0.974899,104.896,130
0.97992,109.907,130
0.98494,114.939,130
0.98996,119.976,130
0.99498,125.002,130
1,130,130
