resist,realisation,CD_nm,entropy_bits
CAR_highNA,0,9.8601,15.7789
CAR_highNA,1,9.4555,15.7802
CAR_highNA,2,9.3775,15.7817
CAR_highNA,3,9.2503,15.7787
CAR_highNA,4,9.6137,15.7804
CAR_highNA,5,9.3059,15.7800
CAR_highNA,6,10.3369,15.7801
CAR_highNA,7,9.3467,15.7803
CAR_highNA,8,8.7856,15.7791
CAR_highNA,9,8.9364,15.7779
CAR_highNA,10,9.7697,15.7802
CAR_highNA,11,9.4221,15.7805
CAR_highNA,12,9.7365,15.7800
CAR_highNA,13,9.6404,15.7792
CAR_highNA,14,9.9729,15.7798
CAR_highNA,15,9.8559,15.7790
CAR_highNA,16,9.9192,15.7795
CAR_highNA,17,9.7809,15.7780
CAR_highNA,18,9.7152,15.7800
CAR_highNA,19,9.5740,15.7782
CAR_highNA,20,9.6519,15.7798
CAR_highNA,21,10.0344,15.7794
CAR_highNA,22,9.4198,15.7804
CAR_highNA,23,10.6171,15.7794
CAR_highNA,24,9.4335,15.7806
MOR_SnOx,0,8.7284,15.7828
MOR_SnOx,1,9.0839,15.7811
MOR_SnOx,2,8.7857,15.7818
MOR_SnOx,3,8.4764,15.7828
MOR_SnOx,4,8.7233,15.7816
MOR_SnOx,5,8.3963,15.7833
MOR_SnOx,6,9.1006,15.7798
MOR_SnOx,7,8.8071,15.7848
MOR_SnOx,8,8.2443,15.7792
MOR_SnOx,9,8.0877,15.7785
MOR_SnOx,10,8.6409,15.7788
MOR_SnOx,11,8.4257,15.7812
MOR_SnOx,12,8.6628,15.7829
MOR_SnOx,13,8.9257,15.7828
MOR_SnOx,14,9.1887,15.7811
MOR_SnOx,15,9.0903,15.7786
MOR_SnOx,16,8.7694,15.7815
MOR_SnOx,17,8.8626,15.7813
MOR_SnOx,18,9.1744,15.7832
MOR_SnOx,19,8.6003,15.7821
MOR_SnOx,20,8.9252,15.7829
MOR_SnOx,21,9.2212,15.7800
MOR_SnOx,22,8.4131,15.7815
MOR_SnOx,23,9.6758,15.7821
MOR_SnOx,24,8.8130,15.7851
