wavelength_nm,R_clear_pct,R_TaBN_pct,R_Ni_pct,R_Cr_pct,R_RuMo_pct
12.5000,2.0784,0.0446,0.0728,0.1223,0.5526
12.5101,2.0236,0.0338,0.0550,0.0995,0.5960
12.5201,1.9269,0.0256,0.0391,0.0776,0.6346
12.5302,1.7917,0.0202,0.0259,0.0578,0.6664
12.5402,1.6239,0.0177,0.0157,0.0407,0.6899
12.5503,1.4312,0.0179,0.0088,0.0271,0.7041
12.5603,1.2236,0.0204,0.0050,0.0173,0.7085
12.5704,1.0125,0.0248,0.0041,0.0111,0.7033
12.5804,0.8110,0.0302,0.0056,0.0083,0.6895
12.5905,0.6332,0.0359,0.0086,0.0084,0.6686
12.6005,0.4930,0.0412,0.0126,0.0105,0.6429
12.6106,0.4042,0.0451,0.0167,0.0138,0.6153
12.6206,0.3792,0.0473,0.0202,0.0174,0.5888
12.6307,0.4281,0.0473,0.0226,0.0207,0.5669
12.6407,0.5584,0.0448,0.0235,0.0230,0.5527
12.6508,0.7736,0.0402,0.0229,0.0241,0.5490
12.6608,1.0737,0.0338,0.0211,0.0240,0.5583
12.6709,1.4541,0.0262,0.0184,0.0230,0.5818
12.6809,1.9063,0.0184,0.0156,0.0217,0.6201
12.6910,2.4178,0.0111,0.0135,0.0209,0.6728
12.7010,2.9729,0.0055,0.0130,0.0216,0.7387
12.7111,3.5531,0.0024,0.0149,0.0248,0.8156
12.7211,4.1384,0.0027,0.0200,0.0311,0.9006
12.7312,4.7076,0.0068,0.0288,0.0414,0.9906
12.7412,5.2392,0.0150,0.0415,0.0558,1.0819
12.7513,5.7126,0.0275,0.0582,0.0745,1.1709
12.7613,6.1086,0.0438,0.0784,0.0970,1.2540
12.7714,6.4101,0.0634,0.1014,0.1225,1.3278
12.7814,6.6035,0.0854,0.1262,0.1500,1.3892
12.7915,6.6787,0.1087,0.1515,0.1779,1.4359
12.8015,6.6312,0.1321,0.1759,0.2047,1.4660
12.8116,6.4627,0.1540,0.1976,0.2286,1.4789
12.8216,6.1829,0.1733,0.2154,0.2481,1.4747
12.8317,5.8105,0.1886,0.2279,0.2618,1.4550
12.8417,5.3750,0.1991,0.2343,0.2691,1.4231
12.8518,4.9174,0.2044,0.2345,0.2700,1.3834
12.8618,4.4898,0.2047,0.2295,0.2659,1.3422
12.8719,4.1540,0.2013,0.2212,0.2590,1.3068
12.8819,3.9775,0.1960,0.2126,0.2531,1.2853
12.8920,4.0285,0.1916,0.2078,0.2528,1.2853
12.9020,4.3683,0.1916,0.2118,0.2636,1.3134
