spatial_freq_lambda,MTF_no_obs,MTF_eps013
0,1,1
0.105469,0.876404,0.863636
0.210938,0.752809,0.738636
0.316406,0.629213,0.613636
0.421875,0.52809,0.511364
0.527344,0.426966,0.409091
0.632812,0.325843,0.325843
0.738281,0.224719,0.224719
0.84375,0.146067,0.146067
0.949219,0.0674157,0.0674157
1.05469,0,0
1.16016,0,0
1.26562,0,0
1.37109,0,0
1.47656,0,0
1.58203,0,0
1.6875,0,0
1.79297,0,0
1.89844,0,0
2.00391,0,0
2.10938,0,0
2.21484,0,0
2.32031,0,0
2.42578,0,0
2.53125,0,0
2.63672,0,0
2.74219,0,0
2.84766,0,0
2.95312,0,0
3.05859,0,0
3.16406,0,0
3.26953,0,0
3.375,0,0
3.48047,0,0
3.58594,0,0
3.69141,0,0
3.79688,0,0
3.90234,0,0
4.00781,0,0
4.11328,0,0
4.21875,0,0
4.32422,0,0
4.42969,0,0
4.53516,0,0
4.64062,0,0
4.74609,0,0
4.85156,0,0
4.95703,0,0
5.0625,0,0
5.16797,0,0
5.27344,0,0
5.37891,0,0
5.48438,0,0
5.58984,0,0
5.69531,0,0
5.80078,0,0
5.90625,0,0
6.01172,0,0
6.11719,0,0
6.22266,0,0
6.32812,0,0
6.43359,0,0
6.53906,0,0
6.64453,0,0
6.75,0,0
6.85547,0,0
6.96094,0,0
7.06641,0,0
7.17188,0,0
7.27734,0,0
7.38281,0,0
7.48828,0,0
7.59375,0,0
7.69922,0,0
7.80469,0,0
7.91016,0,0
8.01562,0,0
8.12109,0,0
8.22656,0,0
8.33203,0,0
8.4375,0,0
8.54297,0,0
8.64844,0,0
8.75391,0,0
8.85938,0,0
8.96484,0,0
9.07031,0,0
9.17578,0,0
9.28125,0,0
9.38672,0,0
9.49219,0,0
9.59766,0,0
9.70312,0,0
9.80859,0,0
9.91406,0,0
10.0195,0,0
10.125,0,0
10.2305,0,0
10.3359,0,0
10.4414,0,0
10.5469,0,0
10.6523,0,0
10.7578,0,0
10.8633,0,0
10.9688,0,0
11.0742,0,0
11.1797,0,0
11.2852,0,0
11.3906,0,0
11.4961,0,0
11.6016,0,0
11.707,0,0
11.8125,0,0
11.918,0,0
12.0234,0,0
12.1289,0,0
12.2344,0,0
12.3398,0,0
12.4453,0,0
12.5508,0,0
12.6562,0,0
12.7617,0,0
12.8672,0,0
12.9727,0,0
13.0781,0,0
13.1836,0,0
13.2891,0,0
13.3945,0,0
