x_nm,I_conv_V,I_hina_V,I_hina_H
0,0.548247,0.572399,0.572399
0.5,0.594702,0.664036,0.664036
1,0.640484,0.750357,0.750357
1.5,0.685154,0.828043,0.828043
2,0.72828,0.894109,0.894109
2.5,0.769448,0.946017,0.946017
3,0.808261,0.981772,0.981772
3.5,0.844345,1,1
4,0.877352,1,1
4.5,0.906965,0.981772,0.981772
5,0.932899,0.946017,0.946017
5.5,0.954904,0.894109,0.894109
6,0.972767,0.828043,0.828043
6.5,0.986318,0.750356,0.750356
7,0.995424,0.664036,0.664036
7.5,1,0.572399,0.572399
8,1,0.478967,0.478967
8.5,0.995424,0.38733,0.38733
9,0.986318,0.30101,0.30101
9.5,0.972767,0.223324,0.223324
10,0.954904,0.157257,0.157257
10.5,0.932899,0.105349,0.105349
11,0.906965,0.0695942,0.0695942
11.5,0.877352,0.0513665,0.0513665
12,0.844345,0.0513665,0.0513665
12.5,0.808261,0.0695942,0.0695942
13,0.769448,0.105349,0.105349
13.5,0.72828,0.157257,0.157257
14,0.685154,0.223324,0.223324
14.5,0.640484,0.30101,0.30101
15,0.594702,0.38733,0.38733
15.5,0.548247,0.478967,0.478967
16,0.501567,0.572399,0.572399
16.5,0.455112,0.664036,0.664036
17,0.40933,0.750357,0.750357
17.5,0.36466,0.828043,0.828043
18,0.321534,0.894109,0.894109
18.5,0.280366,0.946017,0.946017
19,0.241553,0.981772,0.981772
19.5,0.205469,1,1
20,0.172462,1,1
20.5,0.142849,0.981772,0.981772
21,0.116915,0.946017,0.946017
21.5,0.0949102,0.894109,0.894109
22,0.0770467,0.828043,0.828043
22.5,0.0634963,0.750356,0.750356
23,0.0543895,0.664036,0.664036
23.5,0.0498142,0.572399,0.572399
24,0.0498142,0.478967,0.478967
24.5,0.0543896,0.38733,0.38733
25,0.0634963,0.30101,0.30101
25.5,0.0770467,0.223324,0.223324
26,0.0949102,0.157257,0.157257
26.5,0.116915,0.105349,0.105349
27,0.142849,0.0695942,0.0695942
27.5,0.172462,0.0513665,0.0513665
28,0.205469,0.0513665,0.0513665
28.5,0.241553,0.0695942,0.0695942
29,0.280366,0.105349,0.105349
29.5,0.321534,0.157257,0.157257
30,0.36466,0.223324,0.223324
30.5,0.40933,0.30101,0.30101
31,0.455112,0.38733,0.38733
31.5,0.501567,0.478967,0.478967
32,0.548247,0.572399,0.572399
32.5,0.594702,0.664036,0.664036
33,0.640484,0.750357,0.750357
33.5,0.685154,0.828043,0.828043
34,0.72828,0.894109,0.894109
34.5,0.769448,0.946017,0.946017
35,0.808261,0.981772,0.981772
35.5,0.844345,1,1
36,0.877352,1,1
36.5,0.906965,0.981772,0.981772
37,0.932899,0.946017,0.946017
37.5,0.954904,0.894109,0.894109
38,0.972767,0.828043,0.828043
38.5,0.986318,0.750356,0.750356
39,0.995424,0.664036,0.664036
39.5,1,0.572399,0.572399
40,1,0.478967,0.478967
40.5,0.995424,0.38733,0.38733
41,0.986318,0.30101,0.30101
41.5,0.972767,0.223324,0.223324
42,0.954904,0.157257,0.157257
42.5,0.932899,0.105349,0.105349
43,0.906965,0.0695942,0.0695942
43.5,0.877352,0.0513665,0.0513665
44,0.844345,0.0513665,0.0513665
44.5,0.808261,0.0695942,0.0695942
45,0.769448,0.105349,0.105349
45.5,0.72828,0.157257,0.157257
46,0.685154,0.223324,0.223324
46.5,0.640484,0.30101,0.30101
