resist,z_nm,M_bright,M_dark
CAR_standard,0.000,0.135200,0.902322
CAR_standard,1.034,0.136228,0.902980
CAR_standard,2.069,0.137262,0.903635
CAR_standard,3.103,0.138301,0.904286
CAR_standard,4.138,0.139344,0.904934
CAR_standard,5.172,0.140393,0.905577
CAR_standard,6.207,0.141447,0.906216
CAR_standard,7.241,0.142506,0.906852
CAR_standard,8.276,0.143571,0.907483
CAR_standard,9.310,0.144640,0.908111
CAR_standard,10.345,0.145715,0.908735
CAR_standard,11.379,0.146794,0.909356
CAR_standard,12.414,0.147879,0.909972
CAR_standard,13.448,0.148969,0.910585
CAR_standard,14.483,0.150064,0.911194
CAR_standard,15.517,0.151164,0.911799
CAR_standard,16.552,0.152270,0.912401
CAR_standard,17.586,0.153380,0.912998
CAR_standard,18.621,0.154496,0.913593
CAR_standard,19.655,0.155617,0.914183
CAR_standard,20.690,0.156743,0.914770
CAR_standard,21.724,0.157874,0.915353
CAR_standard,22.759,0.159010,0.915933
CAR_standard,23.793,0.160152,0.916509
CAR_standard,24.828,0.161299,0.917082
CAR_standard,25.862,0.162450,0.917651
CAR_standard,26.897,0.163607,0.918216
CAR_standard,27.931,0.164770,0.918778
CAR_standard,28.966,0.165937,0.919337
CAR_standard,30.000,0.167109,0.919892
CAR_highNA,0.000,0.193980,0.919210
CAR_highNA,0.690,0.194765,0.919555
CAR_highNA,1.379,0.195552,0.919899
CAR_highNA,2.069,0.196341,0.920241
CAR_highNA,2.759,0.197132,0.920582
CAR_highNA,3.448,0.197925,0.920922
CAR_highNA,4.138,0.198720,0.921261
CAR_highNA,4.828,0.199517,0.921598
CAR_highNA,5.517,0.200315,0.921934
CAR_highNA,6.207,0.201116,0.922268
CAR_highNA,6.897,0.201918,0.922602
CAR_highNA,7.586,0.202723,0.922934
CAR_highNA,8.276,0.203529,0.923264
CAR_highNA,8.966,0.204337,0.923594
CAR_highNA,9.655,0.205147,0.923922
CAR_highNA,10.345,0.205959,0.924249
CAR_highNA,11.034,0.206773,0.924574
CAR_highNA,11.724,0.207589,0.924899
CAR_highNA,12.414,0.208406,0.925222
CAR_highNA,13.103,0.209226,0.925543
CAR_highNA,13.793,0.210048,0.925864
CAR_highNA,14.483,0.210871,0.926183
CAR_highNA,15.172,0.211696,0.926501
CAR_highNA,15.862,0.212524,0.926818
CAR_highNA,16.552,0.213353,0.927133
CAR_highNA,17.241,0.214184,0.927447
CAR_highNA,17.931,0.215017,0.927760
CAR_highNA,18.621,0.215851,0.928072
CAR_highNA,19.310,0.216688,0.928383
CAR_highNA,20.000,0.217527,0.928692
MOR_SnOx,0.000,0.236928,0.928702
MOR_SnOx,0.862,0.239487,0.929640
MOR_SnOx,1.724,0.242063,0.930568
MOR_SnOx,2.586,0.244654,0.931484
MOR_SnOx,3.448,0.247262,0.932389
MOR_SnOx,4.310,0.249886,0.933283
MOR_SnOx,5.172,0.252526,0.934166
MOR_SnOx,6.034,0.255182,0.935038
MOR_SnOx,6.897,0.257853,0.935900
MOR_SnOx,7.759,0.260540,0.936751
MOR_SnOx,8.621,0.263243,0.937592
MOR_SnOx,9.483,0.265962,0.938422
MOR_SnOx,10.345,0.268696,0.939242
MOR_SnOx,11.207,0.271445,0.940052
MOR_SnOx,12.069,0.274210,0.940852
MOR_SnOx,12.931,0.276990,0.941642
MOR_SnOx,13.793,0.279786,0.942422
MOR_SnOx,14.655,0.282596,0.943192
MOR_SnOx,15.517,0.285421,0.943953
MOR_SnOx,16.379,0.288261,0.944704
MOR_SnOx,17.241,0.291116,0.945446
MOR_SnOx,18.103,0.293985,0.946179
MOR_SnOx,18.966,0.296869,0.946902
MOR_SnOx,19.828,0.299767,0.947616
MOR_SnOx,20.690,0.302680,0.948322
MOR_SnOx,21.552,0.305607,0.949018
MOR_SnOx,22.414,0.308547,0.949705
MOR_SnOx,23.276,0.311502,0.950384
MOR_SnOx,24.138,0.314470,0.951054
MOR_SnOx,25.000,0.317452,0.951716
